player_id,run,grid,seed,score,steps,timestamp
player1,1,30,,0,18,2025-12-31T15:27:23.486798
player1,2,30,,0,3,2025-12-31T15:27:24.090735
player1,3,30,,0,25,2025-12-31T15:27:29.142284
player1,4,30,,0,5,2025-12-31T15:27:30.159872
player1,1,30,,0,1,2025-12-31T15:29:38.379150
player1,2,30,,0,15,2025-12-31T15:29:41.496797
player1,3,30,,9,259,2025-12-31T15:30:33.722578
player1,4,30,,0,32,2025-12-31T15:30:40.162500
player1,5,30,,0,1,2025-12-31T15:30:40.363503
player1,6,30,,0,33,2025-12-31T15:30:47.012461
player1,7,30,,0,14,2025-12-31T15:30:49.842448
player1,1,30,,0,32,2026-01-01T09:14:20.652353
player1,2,30,,0,7,2026-01-01T09:14:22.065177
player1,3,30,,9,322,2026-01-01T09:15:27.080267
player1,4,30,,0,25,2026-01-01T09:15:32.126131
player1,5,30,,0,9,2026-01-01T09:15:33.944997
player1,6,30,,2,101,2026-01-01T09:15:54.350002
player1,7,30,,5,135,2026-01-01T09:16:21.606905
player1,8,30,,1,70,2026-01-01T09:16:35.735868
player1,9,30,,1,68,2026-01-01T09:16:49.468449
player1,10,30,,2,135,2026-01-01T09:17:16.726288
